email_number,email_name,send_timing,primary_goal,primary_cta,main_proof_or_tip
1,Welcome,Immediately after signup,Acknowledge interest and identify one workflow,Book a 25-minute Workflow Fit Call,Start with one workflow
2,The One-Workflow Rule,Day 1,Teach narrow scope and qualify fit,Book a 25-minute Workflow Fit Call,Repeating reviewed workflows are best first pilots
3,The Manager Sentence Test,Day 3,Give a simple governance readiness tool,Book a 25-minute Workflow Fit Call,Manager sentence defines team output inputs tools and approval
4,Research Report 1,Day 5,Show productivity potential and implementation gap,Book a 25-minute Workflow Fit Call,NBER Harvard BCG and McKinsey productivity/scaling evidence
5,Data Boundaries And Evidence,Day 8,Address control security and source support,Book a 25-minute Workflow Fit Call,Data boundaries and source evidence prevent unsupported outputs
6,ExampleCo Walkthrough,Day 12,Make the offer concrete through synthetic case study,Book a 25-minute Workflow Fit Call,Before state GOV-001 pass manager handoff and modeled metrics
7,The Offer,Day 16,Explain AI Governance Setup and reduce friction,Book a 25-minute Workflow Fit Call,Fixed-scope setup for one named workflow
8,Research Report 2,Day 21,Show controlled implementation need and urgency,Book a 25-minute Workflow Fit Call,Census McKinsey Microsoft and NIST control-first evidence
9,Objections,Day 28,Handle blockers and lower perceived risk,Book a 25-minute Workflow Fit Call,IT strategy scope and readiness objections
10,Final Consultation Ask,Day 35,Create clean close and direct consult request,Book a 25-minute Workflow Fit Call,Five-step workflow map
